arg-id,x,y,probability,cluster-id
A27_1,-2.2128572,7.8896585,1.0,3
A27_2,-1.5221316,6.8544226,1.0,3
A27_3,1.5138491,6.8023076,0.0,3
A28_0,0.48440373,9.696305,1.0,3
A28_1,-1.2792951,5.3616266,1.0,0
A28_2,6.2592697,5.010108,1.0,1
A28_3,5.890301,2.6546419,0.9414693387481571,1
A28_4,-1.8374866,5.5619974,1.0,0
A29_0,1.5386988,5.5209203,0.0,3
A29_1,-0.47518593,6.985385,0.0,3
A29_2,-0.32445362,10.836485,0.0,4
A29_3,7.012857,3.6441033,0.0,1
A29_4,5.7125144,5.1834683,0.7997097469583229,1
A29_5,-1.8106397,4.656593,1.0,0
A29_6,1.9598452,2.2962995,0.0,2
A29_7,1.1424373,10.462037,0.9918542277449909,4
A30_0,6.597775,5.2221265,0.0,1
A30_1,5.928506,3.8070486,1.0,1
A30_2,-1.1225377,4.113613,1.0,0
A30_3,-0.31544474,9.967364,0.0,3
A30_4,2.3394282,1.9859641,0.46564301459098545,2
A30_5,1.3922644,6.49882,0.24411655025766565,3
A31_0,1.7513341,10.811266,1.0,4
A31_1,-2.067392,9.781494,1.0,3
A31_2,0.6009467,10.307721,0.0,4
A31_3,5.6124735,6.443551,1.0,3
A31_4,7.263068,3.677332,0.9616344666394344,1
A32_0,2.6179469,4.959814,1.0,3
A32_1,6.2671156,3.211734,1.0,1
A32_2,6.1618586,4.241271,0.318162245145252,1
A32_3,7.1795554,3.4266286,0.0,1
A32_4,5.6239753,6.2884603,0.10047721559581563,3
A33_0,-1.2466977,4.603874,0.0,0
A33_1,-0.5325611,3.4201403,0.0,0
A33_2,5.802363,2.6128552,1.0,1
A33_3,2.6140451,5.473382,1.0,3
A33_4,2.151648,8.636955,0.0,3
A34_0,1.4479662,2.3841422,1.0,2
A34_1,0.014389294,10.610005,1.0,4
A34_2,5.1231837,5.1436048,1.0,1
A34_3,-0.46988088,4.807822,0.0,0
A34_4,-1.8336332,4.619376,0.8108645888424965,0
A35_0,1.7307872,8.50685,0.7732351772802296,3
A35_1,1.7915128,8.478326,0.276756976722991,3
A35_2,1.9303122,8.827825,1.0,3
A35_3,-0.070710406,11.493816,0.32900247379361536,4
A35_4,-1.0011272,4.3465347,0.0,0
A35_5,6.6097236,4.6269646,0.0,1
A35_6,5.965795,5.241394,1.0,1
A35_7,-0.21979007,6.2507105,0.0,3
A36_0,5.7763076,2.7532084,0.7159226286797281,1
A36_1,6.738218,4.5929785,1.0,1
A36_2,7.6139255,3.0821464,0.4630740057362161,1
A36_3,3.7066884,4.987402,1.0,1
A36_4,-0.21056454,9.495627,0.0,3
A36_5,-2.3779323,5.5482574,0.8114284213339868,0
A37_0,-0.22379279,8.417838,1.0,3
A37_1,3.5124693,7.3999186,0.0,3
A37_2,0.16134898,11.302949,0.0,4
A37_3,-1.1169086,8.113254,0.7577032258873914,3
A37_4,-1.8008317,9.350386,0.7610852350855289,3
A37_5,6.008195,3.7466679,1.0,1
A37_6,7.5068355,3.1151793,1.0,1
A37_7,5.5648804,4.809462,1.0,1
A37_8,3.968296,4.657927,1.0,1
A37_9,-1.7155874,7.715987,0.0,3
A37_10,3.4803185,7.1046505,1.0,3
A38_0,-0.00060563895,8.224881,1.0,3
A38_1,0.9702523,9.0061865,1.0,3
A38_2,-2.119773,9.69749,1.0,3
A38_3,4.910331,2.9387853,0.5336541892338679,1
A38_4,5.3034625,4.02514,1.0,1
A38_5,5.281543,4.1314683,0.7703022391820404,1
A39_0,0.0153440675,8.3155985,0.0,3
A39_1,-0.7573929,9.030087,0.3598668607119682,3
A40_0,-1.0263945,3.8674955,0.7652823863155471,0
A40_1,4.6754293,5.282004,0.0,1
A40_2,4.1679096,5.1452765,1.0,1
A40_3,5.9474034,5.1712766,0.7483601167455689,1
A41_0,6.5445952,5.7471623,1.0,1
A41_1,1.4149967,2.317054,0.5223655969924362,2
A41_2,0.90852565,5.6147633,1.0,3
A42_0,1.8034782,2.732675,1.0,2
A42_1,1.4973128,2.253541,0.0,2
A42_2,-0.035442516,11.276911,1.0,4
A42_3,-1.8360252,4.6057878,1.0,0
A42_4,5.8419523,2.6864424,1.0,1
A42_5,5.3002186,3.324534,0.5564522918663548,1
A42_6,7.138966,3.6249886,1.0,1
A42_7,8.032787,3.1969008,1.0,1
A42_8,5.6337504,4.621154,0.0,1
A43_0,3.3767922,5.7943296,1.0,3
A43_1,-1.2643802,6.187646,1.0,3
A43_2,-0.624934,7.2821546,0.922546961092573,3
A44_0,1.5238096,5.3205137,0.0,3
A44_1,-0.06662481,11.570993,0.6625514272088013,4
A44_2,-1.2756537,10.025753,0.0,3
A44_3,0.5785071,6.0033236,0.0,3
